"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
77592;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-02-17";"Anaphylaxis v4.0";"2025-12-18";"Yes";"2025-12-18"
89835;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-08";"Anaphylaxis v4.0";"2025-10-31";"Yes";"2025-10-31"
77239;"Additional Clinical Services";"Healthcare Science Assistant";"2026-04-09";"Anaphylaxis v4.0";"2025-10-30";"No";""
95796;"Additional Clinical Services";"Health Care Support Worker";"2026-02-27";"Anaphylaxis v4.0";"2026-01-16";"Yes";"2026-01-16"
91057;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-01";"Anaphylaxis v4.0";"2025-03-12";"Yes";"2025-03-13"
87533;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-13";"Anaphylaxis v4.0";"2026-04-07";"Yes";"2026-04-07"
364;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2026-03-12";"Anaphylaxis v4.0";"2025-08-26";"Yes";"2025-08-26"
33200;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-26";"Anaphylaxis v4.0";"2025-07-14";"Yes";"2025-07-14"
76711;"Add Prof Scientific and Technic";"Technician";"2026-03-19";"Anaphylaxis v4.0";"2025-09-21";"No";""
79137;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-03-24";"Anaphylaxis v4.0";"2025-03-06";"No";""
76563;"Additional Clinical Services";"Health Care Support Worker";"2026-03-17";"Anaphylaxis v4.0";"2025-10-19";"Yes";"2026-02-08"
47430;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-03-03";"Yes";"2025-03-04"
95344;"Additional Clinical Services";"Health Care Support Worker";"2026-03-25";"Anaphylaxis v4.0";"2025-11-25";"No";""
80817;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-13";"Anaphylaxis v4.0";"2026-01-22";"Yes";"2026-01-22"
33226;"Additional Clinical Services";"Health Care Support Worker";"2026-01-07";"Anaphylaxis v4.0";"2025-05-11";"Yes";"2025-05-26"
30240;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-09";"Anaphylaxis v4.0";"2025-04-22";"Yes";"2025-04-22"
89062;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-25";"Anaphylaxis v4.0";"2025-03-03";"Yes";"2025-03-03"
33239;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-20";"Anaphylaxis v4.0";"2025-10-03";"Yes";"2025-10-06"
92833;"Nursing and Midwifery Registered";"Staff Nurse";"2025-10-17";"Anaphylaxis v4.0";"2025-05-12";"Yes";"2025-05-12"
33242;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-09";"Anaphylaxis v4.0";"2025-09-25";"No";""
95153;"Additional Clinical Services";"Student Technician";"2026-03-25";"Anaphylaxis v4.0";"2026-02-16";"No";""
33250;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-12";"Anaphylaxis v4.0";"2025-07-17";"Yes";"2025-07-17"
377;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-09-08";"Yes";"2026-04-15"
91544;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-11";"Anaphylaxis v4.0";"2025-10-01";"Yes";"2025-10-08"
380;"Nursing and Midwifery Registered";"Staff Nurse";"2025-12-19";"Anaphylaxis v4.0";"2025-08-04";"Yes";"2025-09-29"
46539;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-04-09";"Anaphylaxis v4.0";"2025-05-21";"Yes";"2025-05-21"
47443;"Nursing and Midwifery Registered";"Staff Nurse";"2025-12-09";"Anaphylaxis v4.0";"2025-10-15";"Yes";"2025-10-15"
80300;"Additional Clinical Services";"Health Care Support Worker";"2026-04-07";"Anaphylaxis v4.0";"2025-06-24";"Yes";"2025-06-24"
47459;"Estates and Ancillary";"Support Worker";"2026-04-15";"Anaphylaxis v4.0";"2025-06-18";"Yes";"2025-06-18"
92001;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-10";"Anaphylaxis v4.0";"2025-03-18";"Yes";"2025-03-18"
47468;"Additional Clinical Services";"Health Care Support Worker";"2026-03-05";"Anaphylaxis v4.0";"2025-11-11";"Yes";"2025-11-11"
